number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
49,India,1,1,0,978,1339,3.6,2.4,16.8,5.1,5973.382662823282,5.202827061837567,2.2240542589565315,20.318083022721112,13.460765037597556,-1.4331766946667985,0.35918819531798374,0.006318644517991245,0.04162886086851359,-2.656577239196835
50,Iran,0,0,0,3606,7400,6.3,3.4,18.4,6.5,3480.8011413217,2.7093547823388686,2.766980528503482,26.075367839075632,15.167723417361445,-0.9396525412637924,0.5950371441431341,-0.018045121792850338,0.044455738738179214,-2.9172830397637854
51,Iraq,0,0,0,4916,5626,3.8,3.2,16.2,7.4,22758.872576681333,3.7790234679641266,3.0700112415546155,18.054133232820917,11.383385584706229,-1.5013663805589816,0.8002330666338958,-0.009474519666387127,0.05398617312312126,-2.5874475991975423
52,Israel,1,1,0,4802,10450,5.9,2.8,28.5,9.5,21888.47011326195,4.976422706243677,2.4789656820075168,28.71123512741179,15.59619863128624,-0.7683705800453517,0.46808736398816086,0.0037792006347030505,0.037940800859360024,-2.7104081040597277
53,Japan,1,1,1,3493,13893,6.8,1.2,36,10.9,23758.662224024334,3.4144204651596066,0.31476453844221375,31.211409834213555,9.054390890924095,-0.5272388610540362,0.43476542457938183,0.006207145832267447,0.036759760259883485,-3.076626728535551
54,Jordan,1,1,0,2183,4312,5.4,2.7,17.6,10.8,1985.3799905624035,4.477363938574586,4.634844903824975,31.314262654632337,15.243914776396432,-1.2306553024466655,0.5187333505600691,-0.01259639803549184,0.03585746555472725,-2.664853988840976
55,"Korea, South",1,1,0,1285,4775,7.9,2.7,22.3,10.2,29922.64534444905,6.749903450726791,1.5471036297764806,32.54061162006111,9.656610354673004,-1.044060872484505,0.4996811570599675,0.013466353615033455,0.041970961581682786,-2.6463670597931723
56,Kuwait,0,0,0,77881,25635,2.4,6.8,9.5,9.6,68562.5387091843,1.4015448040956224,4.894614515816231,23.72387339947401,16.527684037193193,-1.2874760666902965,0.764359560277727,-0.04803252628612087,0.06052331171101994,-2.789744149348646
57,Malaysia,1,1,0,2154,5788,7.1,3.2,23.2,7.3,15286.62027139627,6.134269751572741,2.883719223360126,26.358377793803818,13.817212855586801,-1.4216249912647805,0.6755773834884169,-0.00479363763939733,0.04449933356954716,-2.680295625055348
58,Nepal,1,0,0,833,974,2.6,2,5.9,2.3,2902.610386863695,3.9923500805716383,1.9520438348485714,14.737466067890642,11.939370982092306,-1.4758267566204213,NaN,NA,0.03515759459696711,NA
59,Oman,0,0,0,NA,15584,NA,3.3,15.6,2.7,60366.54641513953,5.998009058303744,4.085566346289871,29.733444115629897,14.410164567303685,-0.9313208595012723,0.6730758009685411,NA,0.049455472302657594,NA
60,Pakistan,1,1,0,1077,2175,5.8,3,12.2,3,4999.660422145474,5.323648391756874,2.788129065759004,11.272350954823192,7.123817953892367,-1.420596735281341,NaN,NA,0.06973787402966992,NA
61,Philippines,1,1,0,1668,2430,4.5,3,14.9,10.6,4148.4911121484265,4.244807750841417,2.748046534069859,17.334596125874672,11.785546729580577,-1.3319924988093264,0.5635625310242176,-0.00428730241049502,0.04822455666726456,-2.6392092667925735
62,Saudi Arabia,0,0,0,6731,11057,6.1,4.1,12.8,3.1,81119.23355886905,3.416820938574139,4.780228763888017,31.697981363093408,13.268339597457947,-1.3092777208165014,0.6751228421926496,-0.04832965879817086,0.054703818910099844,-2.9155090083208597
63,Singapore,1,1,0,2793,14678,9.2,2.6,32.2,9,34949.88860153835,6.819329640775806,2.6198084328977966,43.7935225199908,3.7088908102202107,-1.0266666958347195,0.5700219566933808,-6.441794694365122e-4,0.043837533507030464,-2.667991785555557
64,Sri Lanka,1,1,0,1794,2482,3.7,2.4,14.8,8.3,11288.656489997697,4.624600449126515,1.6141369353205537,19.738633767701682,17.543453848637864,-1.5167932566784403,0.5939555303193629,0.0032604210022662006,0.07407848961884156,-2.370004774297637
